"Id","UserId","OrganizationId","JoinDate"
"1","13209","2","09/13/2016"
"3","993","4","09/23/2016"
"4","699407","4","09/23/2016"
"5","368","4","09/23/2016"
"6","2505","4","09/23/2016"
"7","195039","4","09/23/2016"
"8","527964","4","09/23/2016"
"9","3258","4","09/23/2016"
"10","37594","4","09/23/2016"
"11","263098","4","09/23/2016"
"12","259561","4","09/23/2016"
"13","497811","4","09/23/2016"
"14","304806","4","09/23/2016"
"15","1950","4","09/23/2016"
"16","28963","4","09/23/2016"
"17","495305","4","09/23/2016"
"19","603584","4","09/23/2016"
"22","1","6","09/27/2016"
"24","1","7","09/27/2016"
"25","368","8","09/27/2016"
"27","1","9","09/28/2016"
"28","35250","9","09/28/2016"
"30","56281","10","09/28/2016"
"31","711301","7","10/03/2016"
"32","1","11","10/03/2016"
"33","724814","5","10/04/2016"
"34","1","12","10/05/2016"
"35","1","13","10/06/2016"
"36","1","14","10/06/2016"
"38","1","16","10/10/2016"
"39","36544","16","10/13/2016"
"40","1","17","10/13/2016"
"41","419877","17","10/13/2016"
"42","1","18","10/13/2016"
"43","1","19","10/17/2016"
"45","99783","3","10/17/2016"
"46","346825","3","10/17/2016"
"47","609726","2","10/17/2016"
"48","42168","2","10/17/2016"
"49","3876","2","10/17/2016"
"50","362748","2","10/17/2016"
"51","362687","2","10/17/2016"
"52","758392","20","10/19/2016"
"54","1","22","10/19/2016"
"55","632004","23","10/19/2016"
"56","520109","24","10/19/2016"
"57","193904","25","10/19/2016"
"59","630282","26","10/19/2016"
"60","596752","27","10/19/2016"
"61","532307","24","10/19/2016"
"62","629252","24","10/19/2016"
"63","37865","28","10/19/2016"
"66","419951","29","10/19/2016"
"67","52095","30","10/19/2016"
"72","68882","31","10/19/2016"
"73","534808","32","10/19/2016"
"74","534540","32","10/19/2016"
"75","457788","33","10/19/2016"
"76","490849","34","10/19/2016"
"77","103987","35","10/19/2016"
"78","1","21","10/19/2016"
"79","285330","36","10/20/2016"
"80","707519","37","10/20/2016"
"81","48243","38","10/20/2016"
"82","377943","39","10/20/2016"
"84","755155","41","10/20/2016"
"85","161443","42","10/20/2016"
"86","661834","43","10/20/2016"
"87","624707","44","10/20/2016"
"88","710995","45","10/20/2016"
"91","741117","46","10/20/2016"
"93","531157","47","10/20/2016"
"94","28271","48","10/20/2016"
"95","64274","48","10/20/2016"
"96","150865","48","10/20/2016"
"97","48625","48","10/20/2016"
"98","442063","48","10/20/2016"
"99","423052","48","10/20/2016"
"102","703446","44","10/20/2016"
"104","715321","49","10/20/2016"
"105","234686","48","10/20/2016"
"106","405482","50","10/20/2016"
"107","70112","50","10/20/2016"
"108","105502","50","10/20/2016"
"109","88951","50","10/20/2016"
"110","452183","51","10/20/2016"
"111","759743","51","10/20/2016"
"113","389926","50","10/20/2016"
"114","355353","50","10/20/2016"
"115","570334","50","10/20/2016"
"117","365159","50","10/20/2016"
"118","752350","50","10/20/2016"
"119","521006","53","10/20/2016"
"120","357941","54","10/20/2016"
"122","279886","55","10/20/2016"
"123","303352","55","10/20/2016"
"124","85195","56","10/20/2016"
"125","14756","57","10/20/2016"
"126","353748","50","10/20/2016"
"129","274585","50","10/20/2016"
"131","663355","59","10/20/2016"
"134","233029","50","10/20/2016"
"135","183003","50","10/20/2016"
"136","111271","50","10/20/2016"
"137","116251","50","10/20/2016"
"139","751758","61","10/20/2016"
"140","322525","62","10/20/2016"
"141","70866","63","10/20/2016"
"142","236445","56","10/20/2016"
"143","191585","64","10/20/2016"
"144","618508","65","10/20/2016"
"145","760185","64","10/20/2016"
"146","458832","65","10/20/2016"
"148","760212","64","10/20/2016"
"149","56073","66","10/20/2016"
"150","760061","67","10/20/2016"
"151","727342","67","10/20/2016"
"152","760256","67","10/20/2016"
"153","752845","68","10/20/2016"
"154","71422","69","10/20/2016"
"155","669253","70","10/20/2016"
"156","482868","64","10/20/2016"
"157","279444","71","10/20/2016"
"158","171533","71","10/20/2016"
"159","369754","72","10/20/2016"
"160","387594","73","10/20/2016"
"161","414773","74","10/20/2016"
"162","501833","75","10/20/2016"
"163","106904","76","10/20/2016"
"164","645099","77","10/20/2016"
"165","7182","78","10/20/2016"
"166","26741","79","10/20/2016"
"167","352193","76","10/20/2016"
"168","134907","76","10/20/2016"
"169","42148","76","10/20/2016"
"170","338648","80","10/20/2016"
"171","221765","76","10/20/2016"
"172","78083","81","10/20/2016"
"173","643843","82","10/21/2016"
"174","338388","82","10/21/2016"
"175","705765","83","10/21/2016"
"176","599223","82","10/21/2016"
"177","349113","82","10/21/2016"
"178","617170","82","10/21/2016"
"179","676703","82","10/21/2016"
"180","237602","82","10/21/2016"
"181","220848","82","10/21/2016"
"182","760936","82","10/21/2016"
"185","487740","85","10/21/2016"
"186","735458","82","10/21/2016"
"187","761073","86","10/21/2016"
"188","750023","86","10/21/2016"
"189","761107","82","10/21/2016"
"190","253324","71","10/21/2016"
"191","21189","87","10/21/2016"
"193","158872","87","10/21/2016"
"194","761163","86","10/21/2016"
"195","757006","86","10/21/2016"
"196","761186","86","10/21/2016"
"197","757056","86","10/21/2016"
"198","761233","88","10/21/2016"
"199","761246","86","10/21/2016"
"200","254514","89","10/21/2016"
"201","425229","90","10/21/2016"
"202","59741","91","10/21/2016"
"204","759481","91","10/21/2016"
"205","751591","92","10/21/2016"
"206","584997","93","10/21/2016"
"207","84762","94","10/21/2016"
"208","760786","95","10/21/2016"
"209","360111","96","10/22/2016"
"210","516117","97","10/22/2016"
"211","762640","98","10/22/2016"
"212","668607","99","10/22/2016"
"213","276788","100","10/22/2016"
"214","418394","101","10/22/2016"
"215","516526","102","10/23/2016"
"216","49125","91","10/23/2016"
"218","499111","91","10/23/2016"
"219","762640","91","10/23/2016"
"220","604880","103","10/23/2016"
"221","684869","103","10/23/2016"
"222","637869","103","10/23/2016"
"223","637904","103","10/23/2016"
"224","639620","103","10/23/2016"
"225","140316","104","10/23/2016"
"226","168413","105","10/23/2016"
"228","763244","103","10/23/2016"
"229","753308","103","10/23/2016"
"230","671094","103","10/23/2016"
"231","592144","97","10/23/2016"
"232","582955","97","10/23/2016"
"233","737906","97","10/23/2016"
"234","67483","106","10/23/2016"
"235","323209","107","10/23/2016"
"236","648903","108","10/24/2016"
"237","763886","108","10/24/2016"
"238","411846","109","10/24/2016"
"239","456518","110","10/24/2016"
"240","605054","110","10/24/2016"
"241","9190","111","10/24/2016"
"242","453928","50","10/24/2016"
"243","498260","112","10/24/2016"
"244","346478","112","10/24/2016"
"245","301808","112","10/24/2016"
"246","121703","112","10/24/2016"
"247","593401","112","10/24/2016"
"248","742930","113","10/24/2016"
"249","762647","90","10/24/2016"
"250","331256","114","10/24/2016"
"251","751212","115","10/24/2016"
"252","690863","97","10/24/2016"
"253","29871","101","10/24/2016"
"254","652147","116","10/24/2016"
"255","732210","117","10/24/2016"
"256","164882","118","10/24/2016"
"257","747958","119","10/24/2016"
"258","83789","97","10/24/2016"
"259","757840","120","10/24/2016"
"260","765070","121","10/24/2016"
"265","765644","124","10/25/2016"
"266","622917","125","10/25/2016"
"267","765685","126","10/25/2016"
"268","718887","127","10/25/2016"
"269","236940","128","10/25/2016"
"270","766093","128","10/25/2016"
"271","16010","129","10/25/2016"
"273","112010","130","10/25/2016"
"274","109270","121","10/25/2016"
"275","47756","76","10/25/2016"
"276","114032","129","10/25/2016"
"277","765708","126","10/25/2016"
"279","738135","132","10/26/2016"
"282","533281","133","10/26/2016"
"283","152843","123","10/26/2016"
"289","748884","39","10/26/2016"
"293","734217","134","10/26/2016"
"294","767424","134","10/26/2016"
"296","576405","136","10/26/2016"
"297","210116","137","10/27/2016"
"298","85195","137","10/27/2016"
"300","471079","137","10/27/2016"
"301","236445","137","10/27/2016"
"302","708543","137","10/27/2016"
"303","691138","137","10/27/2016"
"304","66004","137","10/27/2016"
"305","206023","137","10/27/2016"
"306","415376","137","10/27/2016"
"307","732369","137","10/27/2016"
"308","563065","137","10/27/2016"
"309","768748","138","10/27/2016"
"310","415705","137","10/27/2016"
"311","189084","139","10/27/2016"
"312","614726","140","10/27/2016"
"313","1","141","10/27/2016"
"314","138735","142","10/27/2016"
"315","1","143","10/27/2016"
"316","677536","144","10/28/2016"
"318","768762","138","10/28/2016"
"319","356753","145","10/28/2016"
"320","236514","146","10/28/2016"
"321","1","147","10/28/2016"
"322","1","148","10/28/2016"
"323","1","149","10/28/2016"
"324","1","150","10/28/2016"
"325","314974","151","10/30/2016"
"326","192123","58","10/30/2016"
"327","506413","152","10/31/2016"
"328","286097","153","10/31/2016"
"329","251266","154","10/31/2016"
"332","223160","154","10/31/2016"
"333","258363","154","10/31/2016"
"334","773105","155","10/31/2016"
"335","773104","155","10/31/2016"
"336","156475","156","10/31/2016"
"337","294692","157","10/31/2016"
"338","755799","157","10/31/2016"
"339","1","158","10/31/2016"
"340","719247","159","10/31/2016"
"341","721369","159","10/31/2016"
"342","773465","159","10/31/2016"
"344","726199","160","11/01/2016"
"345","774320","161","11/01/2016"
"347","768051","162","11/01/2016"
"348","649849","163","11/01/2016"
"350","774613","163","11/01/2016"
"351","774631","163","11/01/2016"
"352","596457","164","11/01/2016"
"353","116536","165","11/01/2016"
"354","644663","166","11/01/2016"
"356","775019","166","11/01/2016"
"357","331683","166","11/01/2016"
"358","670768","164","11/01/2016"
"360","774142","164","11/01/2016"
"361","774856","164","11/01/2016"
"362","775114","164","11/01/2016"
"363","775185","164","11/01/2016"
"364","775186","164","11/01/2016"
"365","709586","137","11/02/2016"
"366","604337","167","11/02/2016"
"367","775887","168","11/02/2016"
"368","775973","169","11/02/2016"
"370","776059","169","11/02/2016"
"371","776055","169","11/02/2016"
"372","776201","166","11/02/2016"
"373","58288","89","11/02/2016"
"375","394547","171","11/03/2016"
"376","777295","172","11/03/2016"
"377","777292","172","11/03/2016"
"378","42571","173","11/03/2016"
"379","600214","173","11/03/2016"
"380","777594","174","11/03/2016"
"381","156116","174","11/03/2016"
"382","742325","174","11/03/2016"
"383","395512","175","11/03/2016"
"384","681522","176","11/04/2016"
"385","194142","177","11/04/2016"
"388","484234","180","11/04/2016"
"389","723960","137","11/04/2016"
"390","395512","181","11/04/2016"
"391","731385","147","11/04/2016"
"392","1","182","11/05/2016"
"393","395512","182","11/05/2016"
"396","731385","148","11/05/2016"
"397","549269","7","11/06/2016"
"398","731385","7","11/06/2016"
"399","395512","7","11/06/2016"
"400","270995","7","11/06/2016"
"401","731385","184","11/06/2016"
"402","1","185","11/06/2016"
"404","731385","186","11/06/2016"
"405","455494","186","11/06/2016"
"406","727797","187","11/06/2016"
"408","395512","189","11/07/2016"
"410","731385","170","11/07/2016"
"412","731385","191","11/08/2016"
"413","609233","192","11/08/2016"
"414","784682","193","11/08/2016"
"415","395512","194","11/08/2016"
"416","184988","91","11/09/2016"
"417","785870","91","11/09/2016"
"418","241507","91","11/09/2016"
"419","98973","195","11/09/2016"
"420","530500","196","11/10/2016"
"421","76708","196","11/10/2016"
"422","248693","179","11/10/2016"
"423","731385","197","11/11/2016"
"424","787680","179","11/11/2016"
"425","694306","114","11/11/2016"
"426","731385","198","11/12/2016"
"427","395512","199","11/12/2016"
"428","395512","200","11/13/2016"
"429","395512","201","11/13/2016"
"430","791217","202","11/13/2016"
"431","616928","203","11/13/2016"
"432","765320","204","11/14/2016"
"433","746290","88","11/14/2016"
"434","700836","205","11/14/2016"
"435","193311","206","11/14/2016"
"436","256409","207","11/14/2016"
"437","457203","207","11/14/2016"
"439","792987","175","11/14/2016"
"440","689411","114","11/14/2016"
"441","793165","114","11/14/2016"
"442","395512","209","11/14/2016"
"444","635070","210","11/15/2016"
"446","395512","212","11/15/2016"
"447","793076","207","11/15/2016"
"448","695458","207","11/15/2016"
"449","632493","213","11/15/2016"
"451","632497","213","11/15/2016"
"452","449844","213","11/15/2016"
"453","534322","156","11/15/2016"
"454","178809","57","11/15/2016"
"455","617554","57","11/15/2016"
"457","245190","57","11/15/2016"
"458","270995","214","11/15/2016"
"459","270995","149","11/15/2016"
"460","794379","207","11/16/2016"
"461","761526","207","11/16/2016"
"462","605054","215","11/16/2016"
"463","795167","216","11/16/2016"
"465","724814","218","11/16/2016"
"466","795223","217","11/16/2016"
"467","685959","219","11/16/2016"
"468","349755","219","11/16/2016"
"469","798019","191","11/16/2016"
"470","304122","217","11/16/2016"
"472","798042","219","11/16/2016"
"473","377856","217","11/16/2016"
"474","470502","217","11/16/2016"
"475","387365","217","11/16/2016"
"476","306413","217","11/16/2016"
"477","270995","220","11/16/2016"
"478","798407","221","11/17/2016"
"479","270995","222","11/17/2016"
"481","270995","224","11/17/2016"
"482","329561","219","11/17/2016"
"483","798806","225","11/17/2016"
"484","604715","217","11/17/2016"
"485","322017","226","11/17/2016"
"486","799628","217","11/17/2016"
"487","270995","227","11/17/2016"
"488","721024","93","11/18/2016"
"489","189362","88","11/18/2016"
"490","800635","88","11/18/2016"
"494","681069","219","11/18/2016"
"495","781028","219","11/18/2016"
"496","798837","219","11/18/2016"
"497","799564","219","11/18/2016"
"498","801879","228","11/19/2016"
"499","395512","227","11/19/2016"
"500","731385","227","11/19/2016"
"501","552951","223","11/19/2016"
"502","731385","229","11/20/2016"
"503","731385","209","11/20/2016"
"504","16502","230","11/21/2016"
"505","452203","231","11/21/2016"
"506","351508","232","11/21/2016"
"507","424941","232","11/21/2016"
"508","515737","232","11/21/2016"
"509","306715","232","11/21/2016"
"511","1","233","11/21/2016"
"512","276788","233","11/21/2016"
"514","1","234","11/21/2016"
"515","804744","234","11/21/2016"
"516","31394","235","11/22/2016"
"517","90808","235","11/22/2016"
"518","158062","236","11/22/2016"
"519","783034","237","11/22/2016"
"520","461496","238","11/22/2016"
"521","116810","239","11/23/2016"
"522","169735","235","11/24/2016"
"523","611150","256","11/24/2016"
"524","210420","257","11/25/2016"
"526","51650","258","11/25/2016"
"527","800599","259","11/25/2016"
"528","810136","257","11/25/2016"
"529","792544","257","11/25/2016"
"530","810165","257","11/25/2016"
"531","51450","260","11/25/2016"
"532","489868","260","11/25/2016"
"533","50928","260","11/25/2016"
"535","807765","261","11/25/2016"
"536","788222","262","11/25/2016"
"537","789328","262","11/25/2016"
"538","197684","259","11/25/2016"
"539","789327","262","11/25/2016"
"540","784398","249","11/25/2016"
"541","797864","263","11/25/2016"
"542","776318","264","11/26/2016"
"545","270995","266","11/27/2016"
"546","270995","263","11/27/2016"
"547","270995","267","11/28/2016"
"548","810406","257","11/28/2016"
"549","587701","257","11/28/2016"
"550","810650","257","11/28/2016"
"551","597351","257","11/28/2016"
"552","813106","257","11/28/2016"
"553","804372","268","11/28/2016"
"554","590653","269","11/28/2016"
"555","278531","269","11/28/2016"
"556","590653","270","11/28/2016"
"557","590653","271","11/28/2016"
"558","278531","271","11/28/2016"
"559","813895","271","11/28/2016"
"560","200766","272","11/28/2016"
"561","248917","271","11/29/2016"
"562","813920","271","11/29/2016"
"563","814731","271","11/29/2016"
"564","464754","271","11/29/2016"
"565","814734","271","11/29/2016"
"566","457106","271","11/29/2016"
"567","790273","273","11/30/2016"
"568","1","274","11/30/2016"
"571","817355","275","11/30/2016"
"572","816830","271","12/01/2016"
"573","814620","271","12/01/2016"
"574","297637","276","12/01/2016"
"575","813669","277","12/01/2016"
"576","813240","277","12/01/2016"
"577","799545","278","12/01/2016"
"578","765354","278","12/01/2016"
"579","819157","278","12/01/2016"
"580","819168","278","12/01/2016"
"581","800970","278","12/01/2016"
"583","819392","278","12/02/2016"
"584","395512","263","12/02/2016"
"585","731385","279","12/04/2016"
"588","796150","281","12/05/2016"
"589","68748","282","12/06/2016"
"590","811885","283","12/06/2016"
"591","281874","236","12/06/2016"
"592","559568","236","12/06/2016"
"593","825991","236","12/06/2016"
"594","824607","284","12/06/2016"
"595","395512","285","12/06/2016"
"596","805107","286","12/07/2016"
"597","131863","287","12/07/2016"
"598","826925","236","12/07/2016"
"599","452667","288","12/07/2016"
"600","670923","289","12/07/2016"
"601","670502","290","12/07/2016"
"602","722926","291","12/07/2016"
"604","108584","292","12/07/2016"
"605","827111","293","12/07/2016"
"606","270995","294","12/07/2016"
"607","827473","284","12/07/2016"
"608","33433","303","12/07/2016"
"609","416881","305","12/08/2016"
"610","270995","306","12/08/2016"
"611","270995","307","12/08/2016"
"612","827271","308","12/08/2016"
"613","828544","309","12/08/2016"
"614","526025","310","12/08/2016"
"615","816885","310","12/08/2016"
"616","829221","310","12/08/2016"
"617","622869","311","12/09/2016"
"618","46833","312","12/09/2016"
"619","579881","272","12/09/2016"
"620","623822","122","12/09/2016"
"621","830540","122","12/09/2016"
"622","652338","313","12/12/2016"
"623","801707","314","12/12/2016"
"624","109123","315","12/12/2016"
"625","96765","315","12/12/2016"
"626","445459","315","12/12/2016"
"627","270876","315","12/12/2016"
"628","363787","316","12/12/2016"
"629","262478","317","12/12/2016"
"630","817762","318","12/12/2016"
"631","33218","319","12/13/2016"
"632","33898","319","12/13/2016"
"633","835","319","12/13/2016"
"634","552082","319","12/13/2016"
"635","824791","320","12/14/2016"
"636","835844","321","12/14/2016"
"637","485730","77","12/14/2016"
"638","1","322","12/14/2016"
"639","815868","7","12/14/2016"
"640","836258","77","12/15/2016"
"641","837289","323","12/15/2016"
"642","207256","323","12/15/2016"
"643","207760","323","12/15/2016"
"644","560675","324","12/16/2016"
"645","791588","325","12/16/2016"
"646","101426","326","12/16/2016"
"647","836625","326","12/16/2016"
"648","822987","327","12/17/2016"
"649","839676","327","12/17/2016"
"650","839618","327","12/17/2016"
"651","839052","328","12/18/2016"
"652","838185","329","12/18/2016"
"653","466335","329","12/18/2016"
"654","416377","330","12/18/2016"
"655","841316","331","12/19/2016"
"656","841051","331","12/19/2016"
"658","840724","333","12/20/2016"
"659","770258","334","12/20/2016"
"660","832952","334","12/20/2016"
"661","636441","335","12/20/2016"
"662","102439","336","12/20/2016"
"663","93215","336","12/20/2016"
"664","479720","337","12/20/2016"
"665","410278","338","12/21/2016"
"666","660893","339","12/21/2016"
"667","679769","339","12/21/2016"
"668","841116","339","12/21/2016"
"669","91783","340","12/21/2016"
"670","621304","323","12/21/2016"
"671","810987","323","12/21/2016"
"672","242912","323","12/21/2016"
"674","71226","341","12/21/2016"
"675","749708","137","12/21/2016"
"676","416489","137","12/21/2016"
"677","255795","341","12/21/2016"
"678","19605","342","12/21/2016"
"679","835824","343","12/22/2016"
"680","182304","343","12/22/2016"
"681","700692","343","12/22/2016"
"682","358231","343","12/22/2016"
"683","611272","344","12/22/2016"
"685","844820","344","12/22/2016"
"686","797864","294","12/23/2016"
"687","797864","345","12/23/2016"
"688","644461","346","12/24/2016"
"689","276788","347","12/26/2016"
"690","782160","71","12/26/2016"
"691","748899","348","12/27/2016"
"692","839178","349","12/27/2016"
"693","518379","7","12/27/2016"
"694","395108","41","12/28/2016"
"695","625209","41","12/28/2016"
"696","389922","41","12/28/2016"
"697","804188","41","12/28/2016"
"698","780065","350","12/30/2016"
"699","845128","351","12/31/2016"
"700","241335","344","01/02/2017"
"701","844855","344","01/02/2017"
"702","838948","352","01/03/2017"
"703","841196","353","01/03/2017"
"704","854291","344","01/03/2017"
"705","641256","354","01/03/2017"
"706","821865","355","01/03/2017"
"707","855652","356","01/04/2017"
"708","443563","335","01/04/2017"
"709","378754","356","01/04/2017"
"710","731806","335","01/04/2017"
"712","855388","357","01/05/2017"
"713","97213","135","01/06/2017"
"714","492296","135","01/06/2017"
"715","779721","135","01/06/2017"
"716","858365","135","01/06/2017"
"717","313890","358","01/07/2017"
"718","785343","359","01/08/2017"
"719","860716","335","01/09/2017"
"720","256794","360","01/09/2017"
"722","854271","361","01/11/2017"
"723","863388","362","01/12/2017"
"724","808837","363","01/12/2017"
"725","645709","364","01/12/2017"
"726","866835","365","01/13/2017"
"727","85138","365","01/13/2017"
"728","816164","4","01/13/2017"
"729","641935","366","01/13/2017"
"730","743562","352","01/13/2017"
"732","839468","352","01/13/2017"
"733","867155","366","01/13/2017"
